Name                   LEA   WAR   INT   POL
Gong Du                 64    72    38    30
Gong Zhi                44    54    63    68
Gongsun Du              70    66    72    64
Gongsun Fan             73    68    67    59
Gongsun Gong            39    20    67    58
Gongsun Kang            71    64    71    68
Gongsun Xu              65    66    57    69
Gongsun Yuan            64    71    55    39
Gongsun Yue             77    70    48    55
Gongsun Zan             82    85    71    41
Gu Tan                  37    30    71    82
Gu Yong                 19    19    82    94
Guan Hai                69    80    17    10
Guan Jing               39    61    73    66
Guan Ping               77    82    69    56
Guan Suo                71    81    57    48
Guan Tong               68    55    62    63
Guan Xing               76    86    60    50
Guan Yi                 44    64    46    51
Guan Yu                 93    97    77    64
Gui Gu                  67    74    40     7
Guo Huai                84    77    82    73
Guo Jia                 58    10    99    82
Guo Si                  63    74    18    19
Guo Tu                  41    45    84    73
Guo Yi                  23    29    70    76

~H~
Han Dang                78    86    54    56
Han Fu                  20    71    67    88
Han Jue                 71    69    33    37
Han Song                31    16    73    75
Han Sui                 84    70    73    68
Han Xuan                10    29     8     4
Han Yin                 27    30    65    55
Han Zhong               67    68    24    16
Hao Zhao                85    79    84    65
He Jin                  25    30     5    54
He Yan                  10    36    74    72
He Yi                   59    67    32    12
Huang Hao                1     1    32     4
Huang Gai               79    83    69    65
Huang Quan              74    59    82    81
Huang Zhong             84    93    61    55
Huang Zu                70    68    50    16
Huangfu Song            85    56    76    72
Hu Che Er               31    76    56     5
Hu Zhen                 62    77    17    18
Hua Xin                 25    38    86    82
Hua Xiong               78    93    54    40
Huan Chong              70    64    76    71
Hou Cheng               73    72    65    66
Hou Xuan                66    71    28    52

~J~
Ji Ling                 74    84    54    50
Jia Chong               38    37    87    81
Jia Fan                 54    59    71    63
Jia Xu                  81    34    97    84
Jian Yong               22    31    65    72
Jiang Ban               62    73    64    46
Jiang Bin               37    24    66    73
Jiang Qin               79    85    45    36
Jiang Shu               69    80    33    31
Jiang Wan               73    38    84    93
Jiang Wei               85    89    92    66
Jiang Xian               8    17    64    61
Jiang Yi                66    64    52    56
Jin Xuan                44    65    22    38
Jinhuan Sanjie          69    74    29    22
Ju Gu                   66    48    68    67
Ju Shou                 79    31    93    92

~K~
Kan Ze                  34    50    86    86
King Duosi              65    59    71    44
King Mulu               54    72    34     7
Kong Rong               23     7    69    64
Kong Xiu                31    18    67    78
Kuai Liang              69    36    89    83
Kuai Yue                42    32    83    87

~L~
Lei Bo                  66    73    41    13
Lei Tong                70    75    45    42
Leng Bao                72    83    66    33
Li Dian                 77    78    78    72
Li Feng                 64    46    68    75
Li Hui                  77    65    76    75
Li Jue(Que)             66    72    29     3
Li Kan                  62    70    32    38
Li Qiu                  66    71    53    58
Li Ru                   61    29    95    71
Li Su                   47    68    62    18
Li Tong                 72    81    48    54
Li Yan                  81    83    72    74
Liang Xiang             66    68    22    26
Liao Hua                75    76    67    47
Ling Cao                76    79    40    40
Ling Tong               78    87    52    39
Liu Bei                 75    74    73    78
Liu Biao                46    28    68    80
Liu Chen                62    65    70    72
Liu Cong                22    22    66    61
Liu Dai                 56    64    36    68
Liu Du                  11    25    29    47
Liu Feng                76    77    45    47
Liu Han                 71    74    50    43
Liu Pi                  73    70    45    47
Liu Qi                  46    10    56    72
Liu Rui                 19    52    36    51
Liu Shan                 3     2     4     7
Liu Shao                71    62    76    90
Liu Xian                53    60    52    45
Liu Xun(Liu Yan)        46    51    40    45
Liu Xun(Yuan Shu)       48    63    35    25
Liu Yan                 51    36    76    81
Liu Yao                 54    67    30    71
Liu Ye                  36    68    88    72
Liu Yu                  56    44    70    91
Liu Zhang                3     3     5    33
Lu Bu                   94   100    25    16
Lu Fan                  74    61    73    74
Lu Jing                 72    65    76    75
Lu Ju                   73    56    71    65
Lu Kai                  65    57    83    86
Lu Kang                 90    55    92    85
Lu Kuang                64    64    14    28
Lu Meng                 93    80    90    74
Lu Qian                 45    72    61    70
Lu Shu                  74    52    71    78
Lu Su                   90    57    93    93
Lu Weihuang             64    66    32    38
Lu Xiang                61    68     9    23
Lu Xun                  98    66    96    90
Lu Zhi                  89    50    81    85
Lun Zhi                 51    42    70    63
Luo Xian                80    70    75    70

~M~
Ma Chao                 91    97    46    44
Ma Dai                  76    84    56    52
Ma Liang                39    32    85    91
Ma Su                   64    65    89    81
Ma Teng                 81    80    49    65
Ma Tie                  70    64    60    56
Ma Wan                  63    73    21    32
Ma Xiu                  70    71    44    39
Ma Zhong(Wu)            68    74    66    42
Ma Zhong(Shu)           77    72    72    76
Man Chong               79    53    80    85
Mangya Cheng            62    78     6     5
Mao Jie                 60    41    62    84
Meng Da                 72    74    77    64
Meng Huo                75    82    40    39
Meng You                63    62    13    15
Mi Fang                 55    56    31    25
Mi Zhu                  32    39    72    84

~N~
Niu Fu                  32    60    20    25

~P~
Pan Feng                59    77     2    12
Pan Zhang               78    80    66    21
Pang De                 75    94    72    48
Pang Hui                70    73    48    46
Pang Tong               80    15    99    85
Pang Yi                 64    42    66    72
Pei Yuanshao            56    67    26    27
Pei Xiu                  9     9    72    79

~Q~
Qiao Mao                62    53    72    73
Qiao Rui                68    72    45    48
Qu Yi                   77    72    62    25
Quan Cong               79    70    71    72
Quan Duan               69    67    36    43
Quan Rou                76    54    71    75
Quan Yi                 63    63    39    47

~S~
Shen Pei                82    59    85    71
Sima Fu                 67    49    78    87
Sima Lang               17    28    69    78
Sima Shi                78    66    85    74
Sima Wang               74    66    80    72
Sima Yan                72    58    81    76
Sima Yi                 97    62    97    94
Sima You                67    56    83    77
Sima Zhao               74    55    90    83
Sima Zhou               63    45    55    62
Song Xian               68    76    41    36
Su You                  56    65    48    37
Sun Ba                  34    64    61    65
Sun Ce                  95    92    75    72
Sun Deng                67    47    78    88
Sun Hao                 10    31    40    10
Sun He                  32    44    66    72
Sun Huan                85    72    78    74
Sun Jian                96    91    77    78
Sun Jing                62    42    70    72
Sun Jun                 58    69    74    19
Sun Kuang               42    51    44    64
Sun Lang                39    48    33    38
Sun Liang               24    11    71    76
Sun Lin                 19    40    59     9
Sun Qian                33    32    71    86
Sun Quan                73    67    83    89
Sun Shang Xiang         77    84    72    71
Sun Shao                80    78    76    65
Sun Shu                 22    24    38    61
Sun Xiu                 64    39    79    72
Sun Xiu                 61    52    49    61
Sun Yi(son of Sun Jian) 67    76    31    24
Sun Yi(son of Sun Shao) 73    69    60    68
Sun Yu                  24    23    50    64
Sun Yu                  76    72    68    74
Sun Zhen                71    74    44    43
Sun Zhong               66    71    49     9

~T~
Taishi Ci               79    92    62    56
Taishi Xiang            59    69    43    63
Tao Qian                47    37    68    57
Tian Chou               68    66    74    78
Tian Kai                71    65    53    66
Tian Xu                 49    61    56    14
Tian Yu                 76    71    78    74
Tian Feng               58    39    96    91

~W~
Wang Kuang              64    50    61    71
Wang Lang               43    37    70    83
Wang Lei                29    31    78    80
Wang Men                66    69    37    36
Wang Rui                82    73    82    70
Wang Su                 47    26    82    77
Wang Wei                65    70    55    49
Wang Xiu                42    65    72    77
Wang Yun                24     7    72    89
Wei Xu                  70    75    29    35
Wei Yan                 83    92    66    35
Wei You                 48    30    74    76
Wen Chou                82    95    25    24
Wen Pin                 78    84    67    65
Wu Anguo                51    75     8    17
Wu Ban                  73    72    53    48
Wu Can                  63    47    76    74
Wu Lan                  69    76    38    34
Wu Tugu                 72    81     1     6
Wu Yi                   80    70    72    71

~X~
Xiahou Ba               79    85    77    46
Xiahou Di               64    73    37    44
Xiahou Dun              90    92    64    76
Xiahou En               61    69    61    59
Xiahou He               54    51    72    75
Xiahou Hui              57    49    74    72
Xiahou Mao              22    13     6    33
Xiahou Shang            75    71    77    62
Xiahou Wei              68    70    51    64
Xiahou Xuan             59    44    80    94
Xiahou Yuan             91    92    51    64
Xing Daorong            62    77    35    15
Xin Chang               53    34    45    72
Xin Pi                  32    23    79    83
Xin Ping                74    46    72    74
Xu Cheng(Xu Sheng)      88    89    84    68
Xu Chu                  66    96    39    23
Xu Gong                 45    68    66    64
Xu Huang                84    91    71    52
Xu Jing                 13    13    73    83
Xu Rong                 76    71    66    40
Xu Shu                  88    65    97    81
Xu Yi                   59    76    17    20
Xu You                  18     6    83    38
Xun Chen                20    24    78    74
Xun You                 70    21    95    90
Xun Yu                  51    11    97   100

~Y~
Yan Baihu               66    69    28    24
Yan Gang                72    70    42    54
Yan Liang               83    95    45    33
Yan Pu                  32    27    83    79
Yan Shao(Yan Xiang)     29    26    66    73
Yan Xing                65    78    57    21
Yan Yan                 77    82    69    67
Yan Zheng               52    59    38    41
Yang Ang                66    70    34    36
Yang Bai                38    46    12    21
Yang Chou               56    64    42    25
Yang Gu(Hu)             87    68    91    86
Yang Hong               15    14    76    60
Yang Huai               70    71    62    57
Yang Ji                 71    66    72    68
Yang Qiu                64    67    53    64
Yang Ren                71    77    53    45
Yang Song                2     1    35    32
Yang Zhao               73    69    72    71
Yang Zuo                56    63    33    32
Yi Ji                   25    24    73    85
Yong Kai                74    71    63    45
Yu Fan                  37    48    86    82
Yu Jin                  82    76    72    57
Yu She                  68    79    31    29
Yu Si                   72    38    80    72
Yuan Shang              62    73    44    34
Yuan Shao               80    68    75    77
Yuan Shu                49    66    71    15
Yuan Tan                58    70    27    34
Yuan Xi                 65    55    64    72
Yuan Yao                45    52    43    54
Yuan Yi                 61    43    71    76
Yuan Yin                27    18    43    44
Yue Chen                71    75    39    43
Yue Jin                 78    85    50    48
Yue Jiu                 64    70    47    34

~Z~
Zang Ba                 75    72    46    52
Ze Rong                 65    71    38    11
Zhang Bao(Shu)          76    87    67    49
Zhang Bao(YS)           83    70    86    72
Zhang Cheng             76    72    74    77
Zhang Fei               83    98    35    22
Zhang He                89    90    74    53
Zhang Heng              67    68    26    31
Zhang Hong              31    11    89    97
Zhang Hu                72    74    48    44
Zhang Ji                65    70    48    56
Zhang Jue(Jiao)         92    26    87    82
Zhang Kai               36    63    15     1
Zhang Liang             81    82    68    49
Zhang Liao              94    90    83    72
Zhang Lu                41    33    69    80
Zhang Miao              46    50    71    74
Zhang Ren               85    89    76    62
Zhang Shao               7    12    30    60
Zhang Song              12     3    87    81
Zhang Ti                78    45    80    78
Zhang Wei               68    65    42    41
Zhang Xiu(Wu)           58    31    74    78
Zhang Xiu               82    72    62    49
Zhang Xun               72    71    46    42
Zhang Yan               79    83    51    58
Zhang Yang              70    72    65    63
Zhang Yi                76    73    75    76
Zhang Yi                76    74    71    68
Zhang Ying              71    72    36    37
Zhang Yun               72    68    54    64
Zhang Zhao              41     4    86    98
Zhang Zun               67    70    60    51
Zhao Fan                18    20    35    61
Zhao Guang              68    72    53    48
Zhao Hong               59    73    35    26
Zhao Tong               65    68    66    59
Zhao Yun                88    96    78    72
Zhen Chong              21    13    75    83
Zhong Hui               77    42    91    80
Zhong Yao               60    15    77    95
Zhong Yu                26    13    70    74
Zhou Cang               66    83    56    39
Zhou Tai                81    93    48    33
Zhou Yu                 98    71    97    91
Zhou Xin                68    69    71    57
Zhu Bao                 65    71    18    26
Zhu Huan                87    84    81    59
Zhu Jun                 81    40    72    77
Zhu Ran                 82    70    65    62
Zhu Rong                68    85    32    30
Zhu Yi                  71    72    68    64
Zhu Zhi                 70    58    72    74
Zhuge Jin               74    33    80    93
Zhuge Jun               28    27    50    65
Zhuge Ke                61    37    91    79
Zhuge Liang             92    33   100    98
Zhuge Shang             69    72    52    70
Zhuge Xu                48    41    38    58
Zhuge Zan               73    65    74    78
Zou Dan                 68    71    36    45
Zou Jing                72    70    65    57
Zu Mao                  72    70    64    53
